Speaker,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,,,,,,,
11,14.32525956,-7.91056932,-7.449611172,-8.941365299,-27.27846132,-2.213023799,2.42696699,-11.07960119,2.52958596,-12.51665378,8.612015988,-4.113875935,-8.289473324,14.32525956,,1,-0.552211238,-0.520033242,-0.624167769,-1.904221086
12,14.03218945,-9.635802588,-8.172986267,-13.84782732,-25.13969055,1.713322356,-9.828804483,-2.246141086,-4.340267869,-10.79687569,-1.404357148,-0.783024809,-3.245131305,14.03218945,,0.979541724,-0.672644188,-0.570529716,-0.966672001,-1.754920422
4,12.99611954,-10.53758492,-8.792856731,-7.100252722,-23.75920395,-13.82214163,-8.449390343,2.631352718,-2.491459103,-4.365195707,-5.130069745,-2.134889783,2.704257905,12.99611954,,0.907217038,-0.735594694,-0.613800867,-0.495645659,-1.658553121
11,13.89569073,-14.25683744,-2.433554609,-5.115627915,-21.76325649,-0.450092341,-7.130533838,-8.175900741,-4.429273321,-12.442531,5.707042076,-6.182831969,-3.936803081,13.89569073,,0.97001319,-0.995223673,-0.16987857,-0.357105426,-1.519222489
2,13.44454854,-1.78571553,-17.65348267,-13.78926745,-20.68848452,-12.12915836,4.517096549,-5.592510133,-4.82647811,0.752216626,-6.048040848,4.433551496,-8.534560031,13.44454854,,0.938520414,-0.124655021,-1.232332482,-0.962584126,-1.444196137
3,13.48191576,-13.47161424,2.484052161,1.76814799,-20.4704977,-8.034573815,-11.61672134,-4.219699569,-13.67060058,-11.56051453,1.292046885,-11.80517722,2.362876673,13.48191576,,0.941128899,-0.940409783,0.173403641,0.123428688,-1.428979183
12,14.57165203,-15.64226751,-9.076454691,-9.323718628,-20.40969383,4.478515135,-14.79658398,-6.684769158,0.190938449,-9.150587202,-2.595838709,1.428082476,-3.957753552,14.57165203,,1.017199861,-1.091936062,-0.633597922,-0.650858617,-1.424734661
6,12.99249554,-8.105580999,-11.81325856,-10.77532756,-20.40701098,-18.61674669,0.531927649,-1.972202099,3.481069711,-14.56380567,2.095584287,-11.63970492,1.120167982,12.99249554,,0.906964058,-0.565824372,-0.824645341,-0.752190738,-1.42454738
4,13.23148115,-11.80786143,-7.561808564,-5.653694758,-20.40208415,-8.150988382,-8.274547394,-0.013764734,-5.65659742,-3.87317947,-2.115068863,-2.030995739,-0.337062599,13.23148115,,0.92364687,-0.824268585,-0.527865379,-0.39466613,-1.424203454
6,13.33143404,-7.87669005,-13.63446211,-12.16875882,-19.94402155,-8.92830711,2.486605468,-11.97770978,5.746290843,-11.30388047,-0.688176009,-7.094464807,-1.499113878,13.33143404,,0.930624257,-0.549846236,-0.951777666,-0.849461664,-1.392227587
